item_key,unit,category,item,co2,source,match_key,match_tokens
anthracite,kwh,energy,anthracite,0.34485,DEFRA 2024,anthracite,"('anthracite',)"
biodiesel,kwh,energy,biodiesel,0.05,DEFRA 2024,biodiesel,"('biodiesel',)"
bioethanol,kwh,energy,bioethanol,0.04,DEFRA 2024,bioethanol,"('bioethanol',)"
biogas,kwh,energy,biogas,0.02,DEFRA 2024,bioga,"('bioga',)"
butane,kwh,energy,butane,0.21476,DEFRA 2024,butane,"('butane',)"
coal,kwh,energy,coal,0.34485,DEFRA 2024,coal,"('coal',)"
diesel,kwh,energy,diesel,0.24781,DEFRA 2024,diesel,"('diesel',)"
electricity,kwh,energy,electricity,0.20707,DEFRA 2024,electricity,"('electricity',)"
fuel oil,kwh,energy,fuel oil,0.24551,DEFRA 2024,fuel oil,"('fuel', 'oil')"
gas,kwh,energy,gas,0.18385,DEFRA 2024,gas,"('gas',)"
grid electricity,kwh,energy,grid electricity,0.20707,DEFRA 2024,grid electricity,"('grid', 'electricity')"
heating gas,kwh,energy,heating gas,0.18385,DEFRA 2024,heating gas,"('heating', 'gas')"
heating oil,kwh,energy,heating oil,0.24551,DEFRA 2024,heating oil,"('heating', 'oil')"
house coal,kwh,energy,house coal,0.34485,DEFRA 2024,house coal,"('house', 'coal')"
hydro electricity,kwh,energy,hydro electricity,0.02,DEFRA 2024,hydro electricity,"('hydro', 'electricity')"
kerosene,kwh,energy,kerosene,0.24781,DEFRA 2024,kerosene,"('kerosene',)"
lpg,kwh,energy,lpg,0.21476,DEFRA 2024,lpg,"('lpg',)"
natural gas,kwh,energy,natural gas,0.18385,DEFRA 2024,natural gas,"('natural', 'gas')"
natural gas therm,therm,energy,natural gas therm,5.30084,DEFRA 2024,natural gas therm,"('natural', 'gas', 'therm')"
propane,kwh,energy,propane,0.21476,DEFRA 2024,propane,"('propane',)"
renewable electricity,kwh,energy,renewable electricity,0.05,DEFRA 2024,renewable electricity,"('renewable', 'electricity')"
solar electricity,kwh,energy,solar electricity,0.04,DEFRA 2024,solar electricity,"('solar', 'electricity')"
uk electricity,kwh,energy,uk electricity,0.20707,DEFRA 2024,uk electricity,"('uk', 'electricity')"
wind electricity,kwh,energy,wind electricity,0.01,DEFRA 2024,wind electricity,"('wind', 'electricity')"
wood,kwh,energy,wood,0.025,DEFRA 2024,wood,"('wood',)"
wood pellets,kwh,energy,wood pellets,0.03,DEFRA 2024,wood pellet,"('wood', 'pellet')"
almond butter,0.934,food,almond butter,3.15,Existing Dataset,almond butter,"('almond', 'butter')"
almond butter,kg,food,Almond butter,3.15,combined_food_emissions,almond butter,"('almond', 'butter')"
almond butter lower sodium,0.934,food,"almond butter, lower sodium",3.15,Existing Dataset,almond butter lower sodium,"('almond', 'butter', 'lower', 'sodium')"
almond butter lower sodium,kg,food,"Almond butter, lower sodium",3.15,combined_food_emissions,almond butter lower sodium,"('almond', 'butter', 'lower', 'sodium')"
almond chicken,0.143,food,almond chicken,9.87,Existing Dataset,almond chicken,"('almond', 'chicken')"
almond chicken,kg,food,Almond chicken,9.87,combined_food_emissions,almond chicken,"('almond', 'chicken')"
almond milk sweetened,0.019,food,"almond milk, sweetened",3.15,Existing Dataset,almond milk sweetened,"('almond', 'milk', 'sweetened')"
almond milk sweetened,kg,food,"Almond milk, sweetened",3.15,combined_food_emissions,almond milk sweetened,"('almond', 'milk', 'sweetened')"
almond milk sweetened chocolate,0.03,food,"almond milk, sweetened, chocolate",3.15,Existing Dataset,almond milk sweetened chocolate,"('almond', 'milk', 'sweetened', 'chocolate')"
almond milk sweetened chocolate,kg,food,"Almond milk, sweetened, chocolate",3.15,combined_food_emissions,almond milk sweetened chocolate,"('almond', 'milk', 'sweetened', 'chocolate')"
almond milk unsweetened,0.02,food,"almond milk, unsweetened",3.15,Existing Dataset,almond milk,"('almond', 'milk')"
almond milk unsweetened,kg,food,"Almond milk, unsweetened",3.15,combined_food_emissions,almond milk,"('almond', 'milk')"
almond milk unsweetened chocolate,0.031,food,"almond milk, unsweetened, chocolate",3.15,Existing Dataset,almond milk chocolate,"('almond', 'milk', 'chocolate')"
almond milk unsweetened chocolate,kg,food,"Almond milk, unsweetened, chocolate",3.15,combined_food_emissions,almond milk chocolate,"('almond', 'milk', 'chocolate')"
apple baked,0.03,food,"apple, baked",0.43,Existing Dataset,apple baked,"('apple', 'baked')"
apple baked,kg,food,"Apple, baked",0.43,combined_food_emissions,apple baked,"('apple', 'baked')"
apple candied,0.025,food,"apple, candied",0.43,Existing Dataset,apple candied,"('apple', 'candied')"
apple candied,kg,food,"Apple, candied",0.43,combined_food_emissions,apple candied,"('apple', 'candied')"
apple dried,0.191,food,"apple, dried",0.43,Existing Dataset,apple dried,"('apple', 'dried')"
apple dried,kg,food,"Apple, dried",0.43,combined_food_emissions,apple dried,"('apple', 'dried')"
apple juice,liter,food,apple juice,1.1,Poore & Nemecek,apple juice,"('apple', 'juice')"
